amostra,Pop,dpi,In—culo,CT1_DENV,CT2_DENV,CT3_DENV,CT4_DENV,CT5_DENV,CT6_DENV,CT1_TM513,CT2_TM514,CT3_TM515,CT4_TM516,CT1_RPS17,CT2_RPS17,CT3_RPS17,CT4_RPS17
300,TET,3,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,19.62599945068360,,,
301,TET,3,CTRL,Undetermined,Undetermined,Undetermined,Undetermined,,,Undetermined,Undetermined,,,19.97200012207030,23.58499908447270,,
131,TET,7,CTRL,Undetermined,Undetermined,,,,,39.29399871826170,,,,19.04999923706050,,,
36,TET,14,CTRL,Undetermined,Undetermined,Undetermined,38.44699859619140,,,Undetermined,Undetermined,,,18.64900016784670,18.70899963378910,18.63100051879880,17.24300003051760
37,TET,14,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,18.64599990844730,,,
38,TET,14,CTRL,Undetermined,Undetermined,Undetermined,Undetermined,38.83800125122070,Undetermined,Undetermined,,,,19.26499938964840,,,
189,wMEL,3,10^4,Undetermined,Undetermined,,,,,19.30400085449220,,,,18.46299934387210,,,
190,wMEL,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,18.21599960327150,,,,16.97500038146970,,,
191,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.15699958801270,,,,18.40800094604490,,,
192,wMEL,3,10^4,Undetermined,Undetermined,,,,,17.79800033569340,,,,18.18300056457520,,,
193,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.70299911499020,,,,19.07299995422360,,,
194,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.62199974060060,,,,18.97599983215330,,,
195,wMEL,3,10^4,Undetermined,Undetermined,,,,,17.88599967956540,,,,18.54599952697750,,,
196,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.29999923706050,,,,18.56200027465820,,,
197,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.65800094604490,,,,18.62800025939940,,,
198,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.80500030517580,,,,18.90900039672850,,,
252,wMEL,3,10^4,Undetermined,Undetermined,,,,,19.28400039672850,,,,19.74200057983400,,,
253,wMEL,3,10^4,Undetermined,Undetermined,,,,,19.92799949646000,,,,19.76799964904790,,,
132,wMEL,7,10^4,Undetermined,,,,,,19.34499931335450,,,,18.56399917602540,,,
133,wMEL,7,10^4,Undetermined,,,,,,19.19700050354000,,,,17.87999916076660,,,
134,wMEL,7,10^4,Undetermined,,,,,,19.02799987792970,,,,18.37899971008300,,,
135,wMEL,7,10^4,Undetermined,,,,,,19.62700080871580,,,,18.32699966430660,,,
136,wMEL,7,10^4,Undetermined,Undetermined,,,,,18.84499931335450,,,,18.23200035095210,,,
137,wMEL,7,10^4,Undetermined,Undetermined,,,,,20.01499938964840,,,,18.89599990844730,,,
39,wMEL,14,10^4,Undetermined,37.78400039672850,,,,,18.05900001525880,18.91399955749510,,,18.86599922180180,18.88699913024900,,
40,wMEL,14,10^4,Undetermined,Undetermined,,,,,17.92000007629390,18.33399963378910,,,18.64200019836430,18.61899948120120,,
41,wMEL,14,10^4,Undetermined,Undetermined,,,,,18.27099990844730,,,,18.99500083923340,,,
42,wMEL,14,10^4,Undetermined,Undetermined,,,,,17.88400077819820,,,,18.69799995422360,,,
43,wMEL,14,10^4,Undetermined,Undetermined,,,,,18.66300010681150,,,,19.32799911499020,,,
44,wMEL,14,10^4,Undetermined,Undetermined,,,,,18.78400039672850,,,,19.01499938964840,,,
45,wMEL,14,10^4,Undetermined,Undetermined,,,,,20.35799980163570,,,,19.05900001525880,,,
199,wMEL,3,10^5,Undetermined,Undetermined,,,,,20.01799964904780,,,,19.46100044250490,,,
200,wMEL,3,10^5,38.84899902343750,39.12900161743160,,,,,20.56800079345700,,,,19.85199928283690,,,
201,wMEL,3,10^5,Undetermined,Undetermined,,,,,19.75200080871580,,,,19.53000068664550,,,
202,wMEL,3,10^5,Undetermined,Undetermined,,,,,20.94899940490720,,,,20.48299980163570,,,
203,wMEL,3,10^5,Undetermined,Undetermined,,,,,20.21800041198730,,,,20.37700080871580,,,
204,wMEL,3,10^5,Undetermined,Undetermined,,,,,19.44400024414060,,,,18.97299957275390,,,
205,wMEL,3,10^5,Undetermined,Undetermined,,,,,19.91200065612790,,,,20.22800064086910,,,
